EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,surface_pressure,wind_speed_10m,wind_gusts_10m,wind_direction_10m,condition,is_wet,track_air_delta
Russian Grand Prix,Russia,Sochi,2021,2021-09-26 12:00:00+00:00,43.407,39.96,17.7,16.5,72,12.6,0.1,0.1,0.0,0.0,51,53,1023.6,14.2,28.1,159,Light drizzle,False,
Turkish Grand Prix,Turkey,Istanbul,2021,2021-10-10 12:00:00+00:00,40.958,29.412,16.8,14.4,79,13.1,0.0,0.0,0.0,0.0,3,100,1006.1,22.9,47.5,42,Overcast,False,
United States Grand Prix,United States,Austin,2021,2021-10-24 19:00:00+00:00,30.135,-97.633,28.8,30.7,61,20.5,0.0,0.0,0.0,0.0,1,49,991.6,16.1,29.9,204,Mainly clear,False,
Mexico City Grand Prix,Mexico,Mexico City,2021,2021-11-07 19:00:00+00:00,19.402,-99.091,20.9,22.0,37,5.8,0.0,0.0,0.0,0.0,3,97,790.0,2.2,16.9,279,Overcast,False,
São Paulo Grand Prix,Brazil,São Paulo,2021,2021-11-14 17:00:00+00:00,-23.702,-46.698,22.1,23.5,65,15.2,0.0,0.0,0.0,0.0,1,33,932.0,14.7,26.3,126,Mainly clear,False,
Qatar Grand Prix,Qatar,Lusail,2021,2021-11-21 14:00:00+00:00,25.49,51.454,26.1,27.7,71,20.4,0.0,0.0,0.0,0.0,0,0,1011.8,16.7,29.2,115,Clear sky,False,
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2021,2021-12-05 17:30:00+00:00,21.632,39.104,27.8,32.1,76,23.1,0.0,0.0,0.0,0.0,0,0,1013.8,8.6,15.8,213,Clear sky,False,
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2021,2021-12-12 13:00:00+00:00,24.471,54.601,24.8,23.6,52,14.4,0.0,0.0,0.0,0.0,2,62,1016.9,17.4,28.8,320,Partly cloudy,False,
Bahrain Grand Prix,Bahrain,Sakhir,2022,2022-03-20 15:00:00+00:00,26.031,50.512,21.2,18.3,45,8.7,0.0,0.0,0.0,0.0,0,0,1010.1,17.5,32.4,351,Clear sky,False,
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2022,2022-03-27 17:00:00+00:00,21.632,39.104,25.6,24.5,53,15.4,0.0,0.0,0.0,0.0,0,0,1012.6,20.1,28.4,339,Clear sky,False,
Australian Grand Prix,Australia,Melbourne,2022,2022-04-10 05:00:00+00:00,-37.846,144.97,26.2,24.5,44,13.1,0.0,0.0,0.0,0.0,3,93,1015.1,18.8,41.0,331,Overcast,False,
